"DC_NOME","SG_ESTADO","CD_SITUACAO","VL_LATITUDE","VL_LONGITUDE","VL_ALTITUDE","DT_INICIO_OPERACAO","CD_ESTACAO"
"COMODORO","MT","Operante","-13.70805555","-59.7625","576.87","11/27/2006","A913"
"CONCEICAO DAS ALAGOAS","MG","Operante","-19.98583333","-48.15166666","572.54","7/17/2006","A520"
"CONCEICAO DO ARAGUAIA","PA","Operante","-8.30361111","-49.28277777","175.74","9/3/2008","A241"
"CONDE","BA","Operante","-12.03583333","-37.68388888","31.9","4/6/2008","A431"
"CORONEL PACHECO","MG","Operante","-21.54666666","-43.26111111","411.14","10/16/2012","A557"
"CORRENTE","PI","Operante","-10.42916666","-45.17305554","452","3/27/2018","A374"
"CORRENTINA","BA","Operante","-13.33249999","-44.61749999","551.71","11/8/2007","A416"
"CORUMBA","MS","Operante","-18.99666666","-57.63749999","111.73","10/25/2006","A724"
"CORURIPE","AL","Operante","-10.1286111","-36.28638888","82.39","9/5/2008","A355"
"COSTA RICA","MS","Operante","-18.49277777","-53.17138888","727.34","12/3/2012","A760"
"COTRIGUACU","MT","Operante","-9.90638888","-58.57222221","265","5/27/2007","A919"
"COXIM","MS","Operante","-18.51222222","-54.7361111","251.48","11/5/2006","A720"
"CRATEUS","CE","Operante","-5.18666666","-40.67222221","298.19","12/10/2008","A342"
"CRISTALINA","GO","Operante","-16.78499999","-47.61305555","1211.08","12/13/2007","A036"
"CRISTALINA (FAZENDA SANTA MONICA)","GO","Operante","-16.39944444","-47.62583332","932","1/24/2018","A056"
"CRUZ ALTA","RS","Operante","-28.60344","-53.673597","426.69","5/30/2007","A853"
"CRUZ DAS ALMAS","BA","Operante","-12.67555554","-39.08944444","219.76","1/18/2003","A406"
"CRUZEIRO DO SUL","AC","Pane","-7.61055555","-72.6811111","220","5/13/2015","A108"
"CUIABA","MT","Operante","-15.60694444","-56.06083333","184","12/7/2002","A901"
"CURACA","BA","Pane","-9.00138888","-39.9125","370","8/19/2015","A448"
"CURITIBA","PR","Operante","-25.4486111","-49.23055554","922.91","1/27/2003","A807"
"CURITIBANOS","SC","Operante","-27.2886111","-50.60416666","978.1","2/27/2008","A860"
"CURVELO","MG","Pane","-18.74777777","-44.45388888","669.48","12/17/2006","A538"
"DELFINO","BA","Operante","-10.455","-41.20694444","646.24","7/14/2008","A443"
"DIAMANTE DO NORTE","PR","Operante","-22.63944444","-52.89027777","368.22","3/5/2008","A849"
"DIAMANTINA","MG","Operante","-18.231052","-43.648269","1359.25","6/4/2007","A537"
"DIANOPOLIS","TO","Operante","-11.59444444","-46.84722221","727.87","8/29/2008","A038"
"DIONISIO CERQUEIRA","SC","Operante","-26.286562","-53.633114","807.54","5/30/2008","A848"
"DIVINOPOLIS","MG","Operante","-20.17333332","-44.87499999","796","10/25/2017","A564"
"DOIS VIZINHOS","PR","Operante","-25.69916666","-53.09527777","545.95","3/28/2007","A843"
"DOM ELISEU","PA","Operante","-4.28055554","-47.56388888","251","3/7/2018","A252"
"DOM PEDRITO","RS","Operante","-31.0025","-54.61805554","150","4/22/2010","A881"
"DORES DO INDAIA","MG","Operante","-19.48194443","-45.59388888","721.09","5/31/2007","A536"
"DOURADOS","MS","Operante","-22.19388888","-54.91138888","463.3","10/17/2006","A721"
